constituency,electorate
LAGAN VALLEY,81454
BELFAST SOUTH,73434
STRANGFORD,70746
FERMANAGH AND SOUTH TYRONE,78813
EAST ANTRIM,67585
NORTH DOWN,70019
EAST LONDONDERRY,72801
SOUTH DOWN,83994
UPPER BANN,91192
NEWRY AND ARMAGH,87117
BELFAST EAST,69967
MID ULSTER,75081
BELFAST WEST,68632
WEST TYRONE,69638
NORTH ANTRIM,81772
FOYLE,77406
SOUTH ANTRIM,76924
BELFAST NORTH,75728
