,Country Code,GDPpc,Population
200,TGO,992.3284294,8478242
201,THA,7233.388858,69950844
202,TJK,897.087902,9749625
203,TLA,8100.572875,642239838
204,TLS,1457.825128,1343875
205,TMN,3611.601011,398128866
206,TSA,2176.776671,1877902324
207,TSS,1645.472944,1165563987
208,TTO,15243.12287,1403374
209,TUN,3924.343925,11935764
210,TUR,9586.61245,85042736
211,TUV,5291.485244,11925
212,TZA,1135.539673,61498438
213,UGA,858.0575127,47123533
214,UKR,4835.571777,43814581
215,UMC,10835.52317,2501427939
216,URY,17020.64864,3485152
217,USA,69287.53659,331893745
218,UZB,1983.064723,34915100
219,VCT,7996.614002,111269
220,VNM,3694.019046,98168829
221,VUT,3127.446248,314464
222,WLD,12262.93462,7836630792
223,WSM,3939.113696,200144
224,XKX,4986.582469,1806279
225,YEM,690.759273,30490639
226,ZAF,6994.211654,60041996
227,ZMB,1120.630171,18920657
228,ZWE,1737.173977,15092171
