Date,AAPL,MSFT
2021-12-01 00:00:00-05:00,163.81922912597656,327.01580810546875
2021-12-02 00:00:00-05:00,162.8150634765625,326.4312744140625
2021-12-03 00:00:00-05:00,160.9061279296875,320.011474609375
2021-12-06 00:00:00-05:00,164.36607360839844,323.16192626953125
2021-12-07 00:00:00-05:00,170.19223022460938,331.81085205078125
2021-12-08 00:00:00-05:00,174.06973266601562,331.86041259765625
2021-12-09 00:00:00-05:00,173.552734375,330.00775146484375
2021-12-10 00:00:00-05:00,178.41453552246094,339.36016845703125
2021-12-13 00:00:00-05:00,174.72593688964844,336.249267578125
2021-12-14 00:00:00-05:00,173.32406616210938,325.2919616699219
2021-12-15 00:00:00-05:00,178.265380859375,331.54339599609375
2021-12-16 00:00:00-05:00,171.2659912109375,321.8838806152344
2021-12-17 00:00:00-05:00,170.15248107910156,320.7940979003906
2021-12-20 00:00:00-05:00,168.77047729492188,316.9402160644531
2021-12-21 00:00:00-05:00,171.99179077148438,324.251708984375
2021-12-22 00:00:00-05:00,174.62649536132812,330.10687255859375
2021-12-23 00:00:00-05:00,175.26280212402344,331.5830383300781
2021-12-27 00:00:00-05:00,179.28945922851562,339.27099609375
2021-12-28 00:00:00-05:00,178.25543212890625,338.0821228027344
2021-12-29 00:00:00-05:00,178.3449249267578,338.7756652832031
2021-12-30 00:00:00-05:00,177.17173767089844,336.1700744628906
2021-12-31 00:00:00-05:00,176.5453643798828,333.1978759765625
2022-01-03 00:00:00-05:00,180.95974731445312,331.6424560546875
2022-01-04 00:00:00-05:00,178.6630859375,325.95574951171875
2022-01-05 00:00:00-05:00,173.91064453125,313.4430236816406
2022-01-06 00:00:00-05:00,171.00750732421875,310.9662170410156
2022-01-07 00:00:00-05:00,171.17654418945312,311.1247253417969
2022-01-10 00:00:00-05:00,171.1964111328125,311.35260009765625
2022-01-11 00:00:00-05:00,174.06973266601562,312.0560302734375
2022-01-12 00:00:00-05:00,174.5171356201172,315.3154296875
2022-01-13 00:00:00-05:00,171.1964111328125,301.9704895019531
2022-01-14 00:00:00-05:00,172.07135009765625,307.32037353515625
2022-01-18 00:00:00-05:00,168.82020568847656,299.8404541015625
2022-01-19 00:00:00-05:00,165.27081298828125,300.51409912109375
2022-01-20 00:00:00-05:00,163.5607147216797,298.8002014160156
2022-01-21 00:00:00-05:00,161.4728546142578,293.28192138671875
2022-01-24 00:00:00-05:00,160.68739318847656,293.6187438964844
2022-01-25 00:00:00-05:00,158.85801696777344,285.8118896484375
2022-01-26 00:00:00-05:00,158.76853942871094,293.95556640625
2022-01-27 00:00:00-05:00,158.30125427246094,297.0565185546875
2022-01-28 00:00:00-05:00,169.34715270996094,305.39837646484375
2022-01-31 00:00:00-05:00,173.77146911621094,308.0931396484375
2022-02-01 00:00:00-05:00,173.60244750976562,305.8937072753906
2022-02-02 00:00:00-05:00,174.82534790039062,310.5500793457031
2022-02-03 00:00:00-05:00,171.90231323242188,298.4534606933594
2022-02-04 00:00:00-05:00,171.61363220214844,303.09991455078125
2022-02-07 00:00:00-05:00,170.8869171142578,298.15625
2022-02-08 00:00:00-05:00,174.0426483154297,301.7326965332031
2022-02-09 00:00:00-05:00,175.48609924316406,308.32098388671875
2022-02-10 00:00:00-05:00,171.34483337402344,299.5729675292969
2022-02-11 00:00:00-05:00,167.88052368164062,292.3011169433594
2022-02-14 00:00:00-05:00,168.11944580078125,292.261474609375
2022-02-15 00:00:00-05:00,172.01182556152344,297.68072509765625
2022-02-16 00:00:00-05:00,171.77291870117188,297.333251953125
2022-02-17 00:00:00-05:00,168.11944580078125,288.626708984375
2022-02-18 00:00:00-05:00,166.5465545654297,285.846923828125
2022-02-22 00:00:00-05:00,163.57997131347656,285.638427734375
2022-02-23 00:00:00-05:00,159.34912109375,278.24237060546875
2022-02-24 00:00:00-05:00,162.00709533691406,292.4587707519531
2022-02-25 00:00:00-05:00,164.1075897216797,295.1590576171875
2022-02-28 00:00:00-05:00,164.37637329101562,296.62835693359375
2022-03-01 00:00:00-05:00,162.4650115966797,292.816162109375
2022-03-02 00:00:00-05:00,165.8098907470703,298.0182189941406
2022-03-03 00:00:00-05:00,165.4813690185547,293.7791442871094
2022-03-04 00:00:00-05:00,162.43515014648438,287.7629699707031
2022-03-07 00:00:00-05:00,158.5825958251953,276.8922119140625
2022-03-08 00:00:00-05:00,156.73095703125,273.85430908203125
2022-03-09 00:00:00-05:00,162.2161407470703,286.41278076171875
2022-03-10 00:00:00-05:00,157.8061065673828,283.5238342285156
2022-03-11 00:00:00-05:00,154.0331573486328,278.0437927246094
2022-03-14 00:00:00-04:00,149.94166564941406,274.4400634765625
2022-03-15 00:00:00-04:00,154.3915252685547,285.07257080078125
2022-03-16 00:00:00-04:00,158.8712615966797,292.26019287109375
2022-03-17 00:00:00-04:00,159.89663696289062,293.0841979980469
2022-03-18 00:00:00-04:00,163.24148559570312,298.2564697265625
2022-03-21 00:00:00-04:00,164.6352081298828,296.99566650390625
2022-03-22 00:00:00-04:00,168.05970764160156,301.8602294921875
2022-03-23 00:00:00-04:00,169.44345092773438,297.32330322265625
2022-03-24 00:00:00-04:00,173.28607177734375,301.89996337890625
2022-03-25 00:00:00-04:00,173.93313598632812,301.4830017089844
2022-03-28 00:00:00-04:00,174.80918884277344,308.45220947265625
2022-03-29 00:00:00-04:00,178.15403747558594,313.1281433105469
2022-03-30 00:00:00-04:00,176.9694061279297,311.5893249511719
2022-03-31 00:00:00-04:00,173.82363891601562,306.0794677734375
2022-04-01 00:00:00-04:00,173.5249786376953,307.18145751953125
