,Country Name,Country Code,HDI,GDPpc
151,Tuvalu,TUV,0.45,862.45
152,Tanzania,TZA,0.39,28946.46
153,Uganda,UGA,0.38,1450.66
154,Ukraine,UKR,0.63,3190.33
155,Uruguay,URY,0.6,7694.63
156,United States,USA,0.7,4060.95
157,St. Vincent and the Grenadines,VCT,0.53,448.84
158,Vietnam,VNM,0.69,1702.49
159,Vanuatu,VUT,0.45,8632.75
160,Samoa,WSM,0.55,636.29
161,Kosovo,XKX,0.57,10412.35
162,"Yemen, Rep.",YEM,0.37,61000.86
163,South Africa,ZAF,0.43,4157.02
164,Zambia,ZMB,0.4,34694.55
165,Zimbabwe,ZWE,0.47,567.67
