Date,mcd,MSFT
2021-11-30 00:00:00-05:00,240.58921813964844,327.5210876464844
2021-12-01 00:00:00-05:00,240.17608642578125,327.01580810546875
2021-12-02 00:00:00-05:00,244.7203369140625,326.4312744140625
2021-12-03 00:00:00-05:00,245.2416534423828,320.0114440917969
2021-12-06 00:00:00-05:00,251.59571838378906,323.1618957519531
2021-12-07 00:00:00-05:00,255.64817810058594,331.8108825683594
2021-12-08 00:00:00-05:00,255.3235626220703,331.86041259765625
2021-12-09 00:00:00-05:00,258.0383605957031,330.0077819824219
2021-12-10 00:00:00-05:00,260.62518310546875,339.3601989746094
2021-12-13 00:00:00-05:00,258.7760314941406,336.249267578125
2021-12-14 00:00:00-05:00,258.21533203125,325.2919616699219
2021-12-15 00:00:00-05:00,260.1825866699219,331.5433654785156
2021-12-16 00:00:00-05:00,261.1956787109375,321.8839111328125
2021-12-17 00:00:00-05:00,257.4088439941406,320.7940979003906
2021-12-20 00:00:00-05:00,257.4383544921875,316.9402160644531
2021-12-21 00:00:00-05:00,260.0547180175781,324.251708984375
2021-12-22 00:00:00-05:00,260.595703125,330.10687255859375
2021-12-23 00:00:00-05:00,261.58917236328125,331.5830078125
2021-12-27 00:00:00-05:00,263.8415832519531,339.27099609375
2021-12-28 00:00:00-05:00,263.48748779296875,338.08209228515625
2021-12-29 00:00:00-05:00,264.08746337890625,338.775634765625
2021-12-30 00:00:00-05:00,262.8284912109375,336.1700439453125
2021-12-31 00:00:00-05:00,263.67437744140625,333.1978759765625
2022-01-03 00:00:00-05:00,264.1759948730469,331.6424865722656
2022-01-04 00:00:00-05:00,264.1071472167969,325.9557800292969
2022-01-05 00:00:00-05:00,262.80877685546875,313.4430236816406
2022-01-06 00:00:00-05:00,265.2677917480469,310.9661865234375
2022-01-07 00:00:00-05:00,262.6809387207031,311.124755859375
2022-01-10 00:00:00-05:00,260.0743713378906,311.3525390625
2022-01-11 00:00:00-05:00,257.8219299316406,312.0559997558594
2022-01-12 00:00:00-05:00,256.6416320800781,315.3154296875
2022-01-13 00:00:00-05:00,257.1235656738281,301.9704895019531
2022-01-14 00:00:00-05:00,253.48422241210938,307.3203430175781
2022-01-18 00:00:00-05:00,252.27442932128906,299.8404235839844
2022-01-19 00:00:00-05:00,251.0350799560547,300.5141296386719
2022-01-20 00:00:00-05:00,248.97935485839844,298.8002014160156
2022-01-21 00:00:00-05:00,250.4154052734375,293.28192138671875
2022-01-24 00:00:00-05:00,249.45147705078125,293.6187438964844
2022-01-25 00:00:00-05:00,246.56951904296875,285.8118896484375
2022-01-26 00:00:00-05:00,245.7531280517578,293.95556640625
2022-01-27 00:00:00-05:00,244.6613311767578,297.0565185546875
2022-01-28 00:00:00-05:00,251.89080810546875,305.3984069824219
2022-01-31 00:00:00-05:00,255.19573974609375,308.0931396484375
2022-02-01 00:00:00-05:00,254.74325561523438,305.89373779296875
2022-02-02 00:00:00-05:00,257.9792785644531,310.55010986328125
2022-02-03 00:00:00-05:00,256.3662109375,298.45343017578125
2022-02-04 00:00:00-05:00,255.79571533203125,303.09991455078125
2022-02-07 00:00:00-05:00,255.5891876220703,298.1562194824219
2022-02-08 00:00:00-05:00,255.8153839111328,301.73272705078125
2022-02-09 00:00:00-05:00,255.59898376464844,308.32098388671875
2022-02-10 00:00:00-05:00,252.65802001953125,299.57293701171875
2022-02-11 00:00:00-05:00,250.97605895996094,292.30108642578125
2022-02-14 00:00:00-05:00,249.23507690429688,292.261474609375
2022-02-15 00:00:00-05:00,249.648193359375,297.68072509765625
2022-02-16 00:00:00-05:00,248.94000244140625,297.333251953125
2022-02-17 00:00:00-05:00,246.81539916992188,288.626708984375
2022-02-18 00:00:00-05:00,246.49082946777344,285.846923828125
2022-02-22 00:00:00-05:00,248.55638122558594,285.638427734375
2022-02-23 00:00:00-05:00,243.72689819335938,278.24237060546875
2022-02-24 00:00:00-05:00,241.0121612548828,292.4587707519531
2022-02-25 00:00:00-05:00,245.35968017578125,295.1590576171875
2022-02-28 00:00:00-05:00,242.0957489013672,296.62835693359375
2022-03-01 00:00:00-05:00,237.0118865966797,292.816162109375
2022-03-02 00:00:00-05:00,238.30758666992188,298.0182189941406
2022-03-03 00:00:00-05:00,234.064453125,293.7791442871094
2022-03-04 00:00:00-05:00,233.23362731933594,287.7629699707031
2022-03-07 00:00:00-05:00,221.87905883789062,276.8922119140625
2022-03-08 00:00:00-05:00,220.3558807373047,273.85430908203125
2022-03-09 00:00:00-05:00,220.0393829345703,286.41278076171875
2022-03-10 00:00:00-05:00,219.5745086669922,283.5238342285156
2022-03-11 00:00:00-05:00,224.39129638671875,278.0437927246094
2022-03-14 00:00:00-04:00,223.70883178710938,274.4400634765625
2022-03-15 00:00:00-04:00,230.02903747558594,285.07257080078125
2022-03-16 00:00:00-04:00,235.53817749023438,292.26019287109375
2022-03-17 00:00:00-04:00,234.87548828125,293.0841979980469
2022-03-18 00:00:00-04:00,236.3096466064453,298.2564697265625
2022-03-21 00:00:00-04:00,232.74899291992188,296.99566650390625
2022-03-22 00:00:00-04:00,235.5183868408203,301.8602294921875
2022-03-23 00:00:00-04:00,233.5402374267578,297.32330322265625
2022-03-24 00:00:00-04:00,237.635009765625,301.89996337890625
2022-03-25 00:00:00-04:00,238.9405975341797,301.4830017089844
2022-03-28 00:00:00-04:00,240.28573608398438,308.45220947265625
2022-03-29 00:00:00-04:00,245.45858764648438,313.1281433105469
2022-03-30 00:00:00-04:00,246.30918884277344,311.5893249511719
2022-03-31 00:00:00-04:00,244.57830810546875,306.0794677734375
